,east_utm48,north_utm48,z,strike_slip,dip_slip,net_slip,strike,dip
185,359896,3443770,4.002359303258,-309.00215,568.6195700000001,647.1557340328582,-128,35
186,352993,3438377,4.002359303258,-146.25077,396.13112,422.2666834573234,-128,35
187,346089,3432984,4.002359303258,-109.75128000000001,300.9859,320.3714335899011,-128,35
188,339186,3427590,4.002359303258,-99.907842,181.23436,206.94798896753397,-128,35
189,332283,3422197,4.002359303258,-69.83926899999999,110.74893,130.9307030096427,-128,35
190,325380,3416804,4.002359303258,2.4769854e-15,98.093393,98.093393,-128,35
191,318477,3411410,4.002359303258,1.7100139000000002e-15,20.274195000000002,20.274195000000002,-128,35
192,311574,3406017,4.002359303258,1.2988436999999999e-14,7.0841095e-16,1.3007741609405105e-14,-128,35
193,376900,3452835,1.673552791813191,-263.01294,984.3470900000001,1018.8792863724888,-128,35
194,372298,3449239,1.673552791813191,-412.41289,1105.8418,1180.2417034088364,-128,35
195,367696,3445644,1.673552791813191,-418.5027,723.88894,836.1577048389937,-128,35
196,363094,3442048,1.673552791813191,-347.91699,622.52378,713.1494153374512,-128,35
197,358492,3438453,1.673552791813191,-239.4821,489.76283,545.1782331219937,-128,35
198,353890,3434857,1.673552791813191,-135.17594,350.34663,375.5200339625577,-128,35
199,349288,3431262,1.673552791813191,-88.564941,276.67103,290.500615516722,-128,35
200,344686,3427666,1.673552791813191,-68.307909,201.83863,213.08402800826997,-128,35
201,340084,3424071,1.673552791813191,-78.085535,136.3389,157.1166650277628,-128,35
202,335481,3420475,1.673552791813191,-83.299175,107.8859,136.30157730008347,-128,35
203,330879,3416880,1.673552791813191,-17.841632,90.042114,91.79273460362982,-128,35
204,326277,3413284,1.673552791813191,6.7779844e-15,117.12442,117.12442,-128,35
205,321675,3409689,1.673552791813191,2.8955716e-15,105.29638,105.29638,-128,35
206,317073,3406093,1.673552791813191,2.8531604e-15,78.41922199999999,78.41922199999999,-128,35
207,312471,3402498,1.673552791813191,-72.999487,134.66177,153.17544647167205,-128,35
208,378997,3451660,0.12101507927822286,-295.48442,1019.8689,1061.811478394327,-128,35
209,375859,3449208,0.12101507927822286,-255.86665,1162.8352,1190.652529053402,-128,35
210,372722,3446757,0.12101507927822286,-514.5206400000001,913.8230900000001,1048.7154660837027,-128,35
211,369584,3444305,0.12101507927822286,-439.44417000000004,721.89856,845.1323621049324,-128,35
212,366446,3441854,0.12101507927822286,-379.64237,664.83053,765.5899442386229,-128,35
213,363308,3439402,0.12101507927822286,-311.91346,588.3419,665.9100523530047,-128,35
214,360171,3436951,0.12101507927822286,-250.6105,501.60562000000004,560.7261548437298,-128,35
215,357033,3434499,0.12101507927822286,-181.3315,406.81961,445.4024112786123,-128,35
216,353895,3432048,0.12101507927822286,-111.75814,310.93617,330.4106288703929,-128,35
217,350757,3429596,0.12101507927822286,-72.650306,252.61388,262.85326577873826,-128,35
218,347620,3427145,0.12101507927822286,-59.235212,214.17039,222.2110849922592,-128,35
219,344482,3424693,0.12101507927822286,-56.787822999999996,163.59713,173.17297071228012,-128,35
220,341344,3422242,0.12101507927822286,-71.156754,127.76398,146.24266896243694,-128,35
221,338206,3419790,0.12101507927822286,-97.67564300000001,92.49838299999999,134.52316563729138,-128,35
222,335068,3417339,0.12101507927822286,-62.384980000000006,90.84914300000001,110.20640867678635,-128,35
223,331931,3414887,0.12101507927822286,-25.283723000000002,63.51933399999999,68.36645698399387,-128,35
224,328793,3412436,0.12101507927822286,3.1426545000000003e-15,113.63173,113.63173,-128,35
225,325655,3409984,0.12101507927822286,5.6490905e-15,124.54526000000001,124.54526000000001,-128,35
226,322517,3407533,0.12101507927822286,4.8474619e-15,116.50948999999999,116.50948999999999,-128,35
227,319380,3405081,0.12101507927822286,7.722687500000001e-15,104.81470999999999,104.81470999999999,-128,35
228,316242,3402630,0.12101507927822286,-25.334454,123.55296000000001,126.1236238150479,-128,35
229,313104,3400178,0.12101507927822286,-160.12083,199.25328000000002,255.61797626662977,-128,35
230,425406,3506705,6.196874058755432,-1.6269640999999998e-13,-6.3751357e-13,6.579465584384745e-13,-137,25
231,416077,3496701,6.196874058755432,-4.5648295,-3.3051922999999996e-14,4.5648295,-137,25
232,406748,3486697,6.196874058755432,7.353702400000001e-14,2.0080269e-15,7.356443482286601e-14,-137,25
233,397419,3476692,6.196874058755432,2.8522198e-13,-2.0281547e-14,2.8594216027692315e-13,-137,25
234,388090,3466688,6.196874058755432,2.242637e-13,0.90226534,0.90226534,-137,25
235,378761,3456684,6.196874058755432,-1.4831445e-15,3.6737019999999996,3.6737019999999996,-137,25
236,431550,3504093,3.2710553333802417,-0.16702297,-5.5240728e-14,0.16702297,-137,25
237,425330,3497424,3.2710553333802417,-44.767078000000005,5.2140036e-14,44.767078000000005,-137,25
238,419111,3490754,3.2710553333802417,-128.77212,-7.005227299999999e-13,128.77212,-137,25
239,412892,3484085,3.2710553333802417,-57.481836,25.388623000000003,62.83902965328973,-137,25
240,406672,3477415,3.2710553333802417,5.5280312000000006e-15,-5.0211619e-14,5.0515005805694357e-14,-137,25
