,lat_deg,lon_deg,depth_km,x_local_km,y_local_km,utm_lon,utm_lat,x_pixel,y_pixel,z_pixel,zz_stress,xx_stress,yy_stress,xz_stress,xy_stress,yz_stress,sig_nn,tau_dd,tau_ss,tau_cs,slp_strk_m,slp_ddip_m,slp_am_m,strike_deg,dip_deg,rake_deg
407,31.4676,103.835,10.4949,34.0,14.35,389324.9362922598,3482013.055884067,1221.2743718742954,547.0307015548944,8.9949,92.38125127576463,435.22798674596345,107.935435161268,-275.2624440948366,-10.776393102976902,21.48674146826295,-15.290354546340211,118.53190054689273,3.4789238140273824,127.75715567560871,3.0389,2.9467,4.2330000000000005,222.0,47.0,45.88249350451839
408,31.4843,103.8131,13.4935,34.0,18.45,387264.3248455528,3483886.449519051,1218.8451809960684,549.2391871656596,11.9935,252.50802136181278,248.61144563405094,52.35574566269459,-75.30885183980722,-8.140345585732156,19.40039245323453,138.97511700532573,-36.924366162219314,46.216400793283874,-24.229643412687906,2.7567,2.4324,3.6765,222.0,47.0,48.5761281511884
409,31.5011,103.7911,16.492,34.0,22.55,385195.07987574727,3485771.465959622,1216.4058123254244,551.4613745411889,14.992,86.06837539392086,97.51321655140231,292.90164215094103,-38.19613308632291,51.82881030596835,-149.72300689067077,183.03624760579112,18.625015977958704,-160.40924527865792,51.6651462331244,2.6566,1.7316,3.1711,222.0,47.0,56.903265614610135
410,31.5179,103.7691,19.4906,34.0,26.65,383126.58475780854,3487656.920352133,1213.9673276318722,553.684078204667,17.9906,175.97006248728803,190.87675837637659,266.06754162136167,25.015844573068563,-126.16488677710065,-156.9970554191271,392.4042470167013,78.18621189100188,-105.14379299426224,-104.41468500877295,2.7059,1.0405,2.8991,222.0,47.0,68.96674580329751
411,31.5346,103.7471,22.4891,34.0,30.75,381058.71312544006,3489531.72841786,1211.5295779461076,555.8942312439349,20.9891,-136.47563865639293,148.44002415305903,376.9427176191936,-158.52729066610397,170.0921419000075,408.1002881360174,-409.76684217020113,136.0329588258,64.39422276256424,396.3645298619872,2.5818,0.5495,2.6396,222.0,47.0,77.98468200735124
412,31.5514,103.7251,25.4877,34.0,34.85,378991.7167055392,3491418.0597396092,1209.092860021156,558.1179686920741,23.9877,239.97842443119822,201.04790222442207,403.61941191077415,-22.92895770741723,-6.822930421550895,-308.6377312554008,460.3152934051219,15.988038364229617,-241.07992059477124,-34.57968640179831,2.0335,0.2737,2.0519,222.0,47.0,82.33431336296731
413,31.5681,103.7031,28.4862,34.0,38.95,376925.34004537866,3493293.745321349,1206.6568727117274,560.3291562077334,26.9862,-87.1300856190522,-0.14713743204887564,-83.47553380860995,-113.75250904912978,29.406666049469273,156.12172853444548,-264.74346770788304,23.373257067210332,59.76806963300301,223.0218649486116,1.0542,0.1135,1.0603,222.0,47.0,83.85494482372401
414,31.3904,103.8728,1.4993,38.0,2.05,392828.3605659007,3473418.519800893,1225.4044500128434,536.8988697196396,-0.0006999999999999229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5736,2.8474,3.8381,222.0,47.0,42.108602617902676
415,31.4072,103.8508,4.4978,38.0,6.15,390755.98357001995,3475302.3173626224,1222.9613890938695,539.119620196733,2.9978,479.01014153163277,306.098953408894,223.46546009338738,-121.34664702223608,139.07224083582588,-23.613013237396856,218.5583220031876,-168.49730796417126,-26.660368144501177,39.458435806279624,2.6363,2.8988,3.9183,222.0,47.0,42.28480393353342
416,31.424,103.8289,7.4964,38.0,10.25,388693.85922885546,3477186.4502483807,1220.530414711323,541.3407659769164,5.9964,90.96359998077175,326.22575747673386,216.17871943896583,-143.62189298145051,104.01173233858891,-7.169456045478654,33.430588193292685,48.2841626806986,-21.202301946972725,32.675867222628604,2.5905,2.8886,3.88,222.0,47.0,41.885793457728
